ID,Timestamp,Type,Amount,Balance
84,2025-11-30T00:39:44.229551,paypal_load,10.0,10.0
83,2025-11-30T00:33:02.916489,profit,32397.005703125,40590.755703125
82,2025-11-30T00:32:45.885399,profit,6510.875,8193.75
81,2025-11-30T00:32:39.947007,profit,1320.375,1682.875
80,2025-11-30T00:32:35.718053,profit,262.5,362.5
79,2025-11-29T10:56:50.303988,profit,128479055.5303089,157693556.22258812
78,2025-11-29T03:40:51.500915,profit,23713893.761087425,29214500.692279216
77,2025-11-29T03:32:35.227363,paypal_withdraw,-10.0,-10.0
76,2025-11-29T03:29:19.724152,paypal_withdraw,-100.0,-100.0
75,2025-11-29T02:04:01.173840,profit,4447745.818089701,5500606.931191791
74,2025-11-29T01:46:33.038923,profit,847921.0416688106,1052861.1131020898
73,2025-11-29T01:42:58.503340,profit,164349.31573015428,204940.07143327928
72,2025-11-29T01:42:24.200072,profit,32397.005703125,40590.755703125
71,2025-11-29T01:42:16.920619,profit,6510.875,8193.75
70,2025-11-29T01:42:15.321123,profit,1320.375,1682.875
69,2025-11-29T01:42:14.787724,profit,262.5,362.5
68,2025-11-28T15:39:49.082943,profit,32397.005703125,40590.755703125
67,2025-11-28T15:39:40.354955,profit,6510.875,8193.75
66,2025-11-28T15:39:35.741852,profit,1320.375,1682.875
65,2025-11-28T15:39:33.220737,profit,262.5,362.5
64,2025-11-28T10:48:03.813825,profit,32397.005703125,40590.755703125
63,2025-11-28T10:47:55.227043,profit,6510.875,8193.75
62,2025-11-28T10:47:51.617031,profit,1320.375,1682.875
61,2025-11-28T10:47:49.187906,profit,262.5,362.5
60,2025-11-28T10:44:46.498207,profit,32397.005703125,40590.755703125
59,2025-11-28T10:44:37.207413,profit,6510.875,8193.75
58,2025-11-28T10:44:33.407893,profit,1320.375,1682.875
57,2025-11-28T10:44:30.849721,profit,262.5,362.5
56,2025-11-28T09:58:53.902382,profit,32397.005703125,40590.755703125
55,2025-11-28T09:58:44.107718,profit,6510.875,8193.75
54,2025-11-28T09:58:39.667646,profit,1320.375,1682.875
53,2025-11-28T09:58:37.212790,profit,262.5,362.5
52,2025-11-28T08:35:07.408873,profit,32397.005703125,40590.755703125
51,2025-11-28T08:34:56.006209,profit,6510.875,8193.75
50,2025-11-28T08:34:51.519572,profit,1320.375,1682.875
49,2025-11-28T08:34:49.054623,profit,262.5,362.5
48,2025-11-28T08:34:39.387043,profit,32397.005703125,40590.755703125
47,2025-11-28T08:34:26.165891,profit,6510.875,8193.75
46,2025-11-28T08:34:22.074882,profit,1320.375,1682.875
45,2025-11-28T08:34:19.232550,profit,262.5,362.5
44,2025-11-28T08:20:15.327759,profit,32397.005703125,40590.755703125
43,2025-11-28T08:20:06.511197,profit,6510.875,8193.75
42,2025-11-28T08:20:02.727013,profit,1320.375,1682.875
41,2025-11-28T08:20:00.319356,profit,262.5,362.5
40,2025-11-28T06:30:24.225307,profit,1786477.767599479,3908002.1174233435
39,2025-11-28T06:28:28.967254,profit,975636.8529288125,2121524.349823864
38,2025-11-28T06:28:12.789099,profit,595477.7701107629,1145887.4968950516
37,2025-11-28T06:23:34.501425,profit,254874.58880814543,550409.7267842888
36,2025-11-28T06:22:38.524847,profit,130877.09635345728,295535.13797614333
35,2025-11-28T06:22:28.436113,profit,66711.75,164658.04162268605
34,2025-11-28T06:22:26.183595,profit,41039.25,97946.29162268605
33,2025-11-28T06:22:24.728751,profit,25189.5,56907.04162268605
32,2025-11-28T06:22:24.498974,profit,15543.5,31717.541622686047
31,2025-11-28T06:22:20.562433,profit,9424.679999286045,16259.041622686045
30,2025-11-28T06:22:17.933573,profit,5466.801623400001,6919.3616234
29,2025-11-28T06:22:09.653081,profit,1188.56,1537.56
28,2025-11-28T06:21:29.858252,profit,249.0,349.0
27,2025-11-28T05:30:35.595602,profit,8868915.8489587,11077582.630413711
26,2025-11-28T04:55:10.002259,profit,1754482.1478548506,2208751.78145501
25,2025-11-28T04:49:26.365537,profit,357918.8704884278,454354.63360015943
24,2025-11-28T04:47:44.516803,profit,75377.00083017662,96520.76311173162
23,2025-11-28T04:47:26.527665,profit,16405.872281555003,21228.762281555002
22,2025-11-28T04:47:21.427697,profit,3748.84,4907.89
21,2025-11-28T04:47:18.361790,profit,926.55,1244.05
20,2025-11-28T04:47:16.115572,profit,217.5,317.5
19,2025-11-28T04:39:11.077796,profit,3516596.094402219,4521871.42652178
18,2025-11-28T04:27:08.004483,profit,774511.9121764649,1005360.3321195606
17,2025-11-28T04:24:34.886445,profit,176144.0742990578,230933.4199430956
16,2025-11-28T04:24:02.019004,profit,41410.180961237806,54874.34564403781
15,2025-11-28T04:23:53.265514,profit,10100.2846828,13549.164682800001
14,2025-11-28T04:23:49.640492,profit,2588.26,3533.88
13,2025-11-28T04:23:47.133865,profit,744.62,1030.62
12,2025-11-28T04:23:44.933600,profit,186.0,286.0
