2025-11-15 02:17:12 | INFO     | MiningSystem | MINING_CYCLE_COMPLETED | MINING_DATA: Cycle_1 | Capital: 130.08 CHF | Profit: 30.08 CHF
2025-11-15 02:17:12 | INFO     | MiningSystem | PROFIT_CALCULATION | ETH | PROFIT: Algorithm: ethash | Expected: 3440.03 CHF/day
2025-11-15 02:17:12 | INFO     | MiningSystem | RIG_STATUS_UPDATE | RIG: GPU_1 | RTX 4090 | Temp: 72°C | Status: ACTIVE
2025-11-15 18:07:57 | INFO     | MiningSystem | EVENT_TEMPERATURE_OVERHEAT | {"rig_id": "GPU_1", "temperature": 78.5, "max_temp": 75, "severity": "minor", "actions_taken": ["fan_speed_94%"]}
2025-11-15 18:07:57 | INFO     | MiningSystem | EVENT_TEMPERATURE_OPTIMIZATION_DECISION | {"rig_id": "GPU_1", "actions": [{"action": "overtemperature_handling", "severity": "minor", "temp_over": 3.5, "actions_taken": ["fan_speed_94%"], "fan_speed": 94}], "efficiency_gain": 0, "temperature": 78.5, "hash_rate": 115.0}
2025-11-16 00:17:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}, {"action": "fan_speed_optimization", "from_speed": 50, "to_speed": 65, "temperature": 70}, {"action": "voltage_optimization", "from_voltage": 900, "to_voltage": 875.0, "power_saving": 0.1388888888888889, "temperature": 70}], "efficiency_gain": 181.9570707070707}
2025-11-16 00:17:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 318, "efficiency_gain": 169.4915254237288}, {"action": "fan_speed_optimization", "from_speed": 50, "to_speed": 65, "temperature": 70}, {"action": "voltage_optimization", "from_voltage": 900, "to_voltage": 875.0, "power_saving": 0.1388888888888889, "temperature": 70}], "efficiency_gain": 169.6304143126177}
2025-11-16 00:17:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 320, "efficiency_gain": 166.66666666666669}, {"action": "fan_speed_optimization", "from_speed": 50, "to_speed": 65, "temperature": 70}, {"action": "voltage_optimization", "from_voltage": 900, "to_voltage": 875.0, "power_saving": 0.1388888888888889, "temperature": 70}], "efficiency_gain": 166.80555555555557}
2025-11-16 00:17:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}, {"action": "fan_speed_optimization", "from_speed": 50, "to_speed": 65, "temperature": 70}, {"action": "voltage_optimization", "from_voltage": 900, "to_voltage": 875.0, "power_saving": 0.1388888888888889, "temperature": 70}], "efficiency_gain": 181.9570707070707}
2025-11-16 00:17:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_3", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 300, "efficiency_gain": 200.0}, {"action": "fan_speed_optimization", "from_speed": 50, "to_speed": 65, "temperature": 70}, {"action": "voltage_optimization", "from_voltage": 900, "to_voltage": 875.0, "power_saving": 0.1388888888888889, "temperature": 70}], "efficiency_gain": 200.13888888888889}
2025-11-16 00:17:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_4", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 208, "efficiency_gain": 2500.0}, {"action": "fan_speed_optimization", "from_speed": 50, "to_speed": 65, "temperature": 70}, {"action": "voltage_optimization", "from_voltage": 900, "to_voltage": 875.0, "power_saving": 0.1388888888888889, "temperature": 70}], "efficiency_gain": 2500.1388888888887}
2025-11-16 00:18:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}], "efficiency_gain": 181.8181818181818}
2025-11-16 00:18:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 318, "efficiency_gain": 169.4915254237288}], "efficiency_gain": 169.4915254237288}
2025-11-16 00:18:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 320, "efficiency_gain": 166.66666666666669}], "efficiency_gain": 166.66666666666669}
2025-11-16 00:18:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}], "efficiency_gain": 181.8181818181818}
2025-11-16 00:18:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_3", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 300, "efficiency_gain": 200.0}], "efficiency_gain": 200.0}
2025-11-16 00:18:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_4", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 208, "efficiency_gain": 2500.0}], "efficiency_gain": 2500.0}
2025-11-16 00:19:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}], "efficiency_gain": 181.8181818181818}
2025-11-16 00:19:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 318, "efficiency_gain": 169.4915254237288}], "efficiency_gain": 169.4915254237288}
2025-11-16 00:19:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 320, "efficiency_gain": 166.66666666666669}], "efficiency_gain": 166.66666666666669}
2025-11-16 00:19:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}], "efficiency_gain": 181.8181818181818}
2025-11-16 00:19:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_3", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 300, "efficiency_gain": 200.0}], "efficiency_gain": 200.0}
2025-11-16 00:19:06 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_4", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 208, "efficiency_gain": 2500.0}], "efficiency_gain": 2500.0}
2025-11-16 00:19:13 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}], "efficiency_gain": 181.8181818181818}
2025-11-16 00:19:13 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 318, "efficiency_gain": 169.4915254237288}], "efficiency_gain": 169.4915254237288}
2025-11-16 00:19:13 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 320, "efficiency_gain": 166.66666666666669}], "efficiency_gain": 166.66666666666669}
2025-11-16 00:19:13 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 310, "efficiency_gain": 181.8181818181818}], "efficiency_gain": 181.8181818181818}
2025-11-16 00:19:13 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_3", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 300, "efficiency_gain": 200.0}], "efficiency_gain": 200.0}
2025-11-16 00:19:13 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_4", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 208, "efficiency_gain": 2500.0}], "efficiency_gain": 2500.0}
2025-11-16 00:19:45 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 140.0, "new_hashrate": 250.0, "efficiency_gain": 127.27272727272727}], "efficiency_gain": 127.27272727272727}
2025-11-16 00:19:45 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "ASIC_2", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 318, "efficiency_gain": 169.4915254237288}], "efficiency_gain": 169.4915254237288}
2025-11-16 00:19:45 | INFO     | MiningSystem | EVENT_THERMAL_OPTIMIZATION | {"rig_id": "GPU_1", "actions_taken": [{"action": "overclock_success", "overclock_amount": 200, "new_hashrate": 320, "efficiency_gain": 166.66666666666669}], "efficiency_gain": 166.66666666666669}
